Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Mi vecino Totoro;Blu-Ray;Amaray Negro;1;Hayao Miyazaki;1988;Animación. Fantástico;Vertigo, Studio Ghibli. Edición sencilla;
Susurros del corazón;Blu-Ray;Amaray Negro;1;Yoshifumi Kondô;1995;Animación. Drama;Vertigo, Studio Ghibli. Edición sencilla. Guion de Hayao Miyazaki;
Paprika;Blu-Ray;Sencilla;1;Satoshi Kon;2006;Animación. Ciencia ficción;Distribuido por Sony. Madhouse. Novela: Yasutaka Tsutsui;
Assassination Classroom;Blu-Ray;Pack Amaray amarillo;1;Eiichirô Hasumi;2015;Comedia. Ciencia ficción. Manga. Live-Action;Pack con las dos pelis juntas. Incluye libreto. M3 (Mediatres estudio) Winds of Asia;
Assassination Classroom: La graduación;Blu-Ray;Pack Amaray amarillo;1;Eiichirô Hasumi;2016;Comedia. Ciencia ficción. Manga. Live-Action;Pack con las dos pelis juntas. Incluye libreto. M3 (Mediatres estudio) Winds of Asia;
Los Vengadores;Blu-Ray;Pack Cartón 4 Amaray's;1;Joss Whedon;2012;Fantástico. Acción. Ciencia ficción;Pack colección completa 4 peliculas. Los Vengadores Reunidos.;
Vengadores: La era de Ultrón;Blu-Ray;Pack Cartón 4 Amaray's;1;Joss Whedon;2015;Fantástico. Acción. Ciencia ficción;Pack colección completa 4 peliculas. Los Vengadores Reunidos.;
Vengadores: Infinity War;Blu-Ray;Pack Cartón 4 Amaray's;1;Anthony Russo, Joe Russo;2018;Ciencia ficción. Fantástico. Acción;Pack colección completa 4 peliculas. Los Vengadores Reunidos.;
Vengadores: Endgame;Blu-Ray;Pack Cartón 4 Amaray's;2;Anthony Russo, Joe Russo;2019;Ciencia ficción. Fantástico. Acción;Pack colección completa 4 peliculas. Los Vengadores Reunidos. Incluye Blu-Ray de extras.;
Celda 211;DVD;Steelbook;2;Daniel Monzón;2009;Thriller. Drama;Star MetalPack Patent Pending. DVD con la pelicula y DVD con contenidos especiales. Caracteristicas impresas en el propio metal.;
Emoji: La película;Blu-Ray;Steelbook;2;Anthony Leondis;2017;Animación. Comedia. Aventuras;Pelicula en Blu-Ray más DVD. Papel por fuera con las caracteristicas.;
Yo, Robot;Blu-Ray;Steelbook;1;Alex Proyas;2004;Ciencia ficción. Thriller;Steelbook azúl con papel por fuera con las caracteristicas;
Tres anuncios en las afueras;Blu-Ray;Steelbook;1;Martin McDonagh;2017;Thriller. Drama. Comedia;20th Century Fox. Steelbook con papel por fuera con las caracteristicas;
Creepshow;Blu-Ray;Steelbook;1;George A. Romero;1982;Terror. Comedia;FuturePak. Patent Pending. Incluye 8 postales e imán exterior. Edición númerada 0842/1000. Guion Stephen King;
Creepshow 2;Blu-Ray;Sencilla;1;Michael Gornick;1987;Terror. Fantástico. Animación;Edición sencilla Blu-Ray. Ref. 4595;Caja 1, debajo cama (2)
Terminator Génesis;Blu-Ray;Steelbook;2;Alan Taylor;2015;Ciencia ficción. Acción;Edición italiana. Contiene Blu-Ray de extras. Caja SteelBook con relieve. SkyDance. Paramount. Arnold Schwarzenegger;
Matrix;Blu-Ray;Pack Steelbook;1;Hermanas Wachowski;1999;Ciencia ficción. Fantástico. Acción;Caja metalica. La trilogía + Animatrix. Caja con pegatinas (Caja metalica negra);
Matrix Reloaded;Blu-Ray;Pack Steelbook;1;Hermanas Wachowski;2003;Ciencia ficción. Fantástico. Acción. Thriller;Caja metalica. La trilogía + Animatrix. Caja con pegatinas (Caja metalica negra);
Matrix Revolutions;Blu-Ray;Pack Steelbook;1;Hermanas Wachowski;2003;Ciencia ficción. Fantástico. Acción. Thriller;Caja metalica. La trilogía + Animatrix. Caja con pegatinas (Caja metalica negra);
Animatrix;Blu-Ray;Pack Steelbook;1;Andrew R. Jones, Shin'ichir? Watanabe;2003;Animación. Ciencia ficción. Fantástico. Acción. Drama;Caja metalica. La trilogía + Animatrix. Caja con pegatinas (Caja metalica negra);
Balto Aventura en la Tierra de Hielo;DVD;Sencilla;1;Phil Weinstein;2002;Animación. Aventuras;Universal. Edición sencilla en DVD (2020);
Basil el Ratón SuperDetective (Clásico 26);DVD;Sencilla;1;John Musker, Ron Clements;1986;Animación. Intriga. Aventuras;Edición Especial. Edición en DVD del 2017.;
MedaBots La Robobatalla Final;DVD;Sencilla;1;Tensai Okamura;1999;Serie de TV. Animación. Ciencia ficción;Tres episodios. 24, 25 y 26 (37, 38 y 39 numeración japonesa). Divisa Home Video. DivMagic;
La loca Historia de los 3 mosqueteros;DVD;Sencilla;1;Mariano Ozores;1983;Comedia | Siglo XVIII. Capa y espada;Martes y 13.  Edición sencilla en DVD. MangaFilms. Audio en mono.;
Marte (The Martian);Blu-Ray;Digibook;1;Ridley Scott;2015;Ciencia ficción. Drama;Edición con libro. 20th Century Fox.;
Interstellar;Blu-Ray;Digibook;2;Christopher Nolan;2014;Ciencia ficción. Drama. Aventuras;Edición con libro. Warner Bros. Incluye Blu-Ray de extras.;
 El hombre de acero;Blu-Ray;Pack Amaray gordo;1;Zack Snyder;2013;Ciencia ficción. Fantástico. Acción | Superhéroes;DC Colección 7 Películas en funda de cartón;
Batman v. Superman: El amanecer de la Justicia;Blu-Ray;Pack Amaray gordo;2;Zack Snyder;2016;Fantástico. Acción. Ciencia ficción | Superhéroes;DC Colección 7 Películas. Incluye versión extendida;
Escuadrón suicida;Blu-Ray;Pack Amaray gordo;1;David Ayer;2016;Thriller. Fantástico. Acción | Superhéroes. Crimen;DC Colección 7 Películas en funda de cartón;
Wonder Woman ;Blu-Ray;Pack Amaray gordo;1;Patty Jenkins;2017;Fantástico. Acción. Bélico. Aventuras | Superhéroes;DC Colección 7 Películas en funda de cartón;
 Liga de la Justicia;Blu-Ray;Pack Amaray gordo;1;Zack Snyder;2017;Acción. Fantástico | Superhéroes. Cómic.;DC Colección 7 Películas en funda de cartón;
Aquaman;Blu-Ray;Pack Amaray gordo;1;James Wan;2018;Fantástico. Acción | Superhéroes. Cómic.;DC Colección 7 Películas en funda de cartón;
¡Shazam!;Blu-Ray;Pack Amaray gordo;1;David F. Sandberg;2019;Fantástico. Comedia. Acción | Superhéroes. Magia.;DC Colección 7 Películas en funda de cartón;
Han Solo: Una historia de Star Wars;Blu-Ray 3D;Sencilla 3D;3;Ron Howard;2018;Ciencia ficción. Aventuras. Fantástico;LucasFilm Ltd. Incluye disco con la pelicula en 3D, disco con la pelicula en 2D y disco de extras.;
Rogue One: Una historia de Star Wars;Blu-Ray 3D;Sencilla 3D;3;Gareth Edwards;2016;Ciencia ficción. Acción. Bélico;LucasFilm Ltd. Incluye disco con la pelicula en 3D, disco con la pelicula en 2D y disco de extras.;
 El código Da Vinci;Blu-Ray;Pack Amaray gordo;1;Ron Howard;2006;Intriga. Thriller | Religión. Matemáticas;Pack de tres peliculas.  La Trilogía de Robert Langdon;
Ángeles y Demonios;Blu-Ray;Pack Amaray gordo;1;Ron Howard;2009;Thriller. Intriga | Religión. Secuela;Pack de tres peliculas.  La Trilogía de Robert Langdon;
Inferno;Blu-Ray;Pack Amaray gordo;1;Ron Howard;2016;Thriller. Intriga | Secuela;Pack de tres peliculas.  La Trilogía de Robert Langdon;
Iron Man;Blu-Ray;Sencilla;2;Jon Favreau;2008;Fantástico. Acción. Aventuras. Ciencia ficción;Edición apaisada. Distribuido por Sony. Marvel. Inlcuye Blu-Ray de extras. Incluye audio catalán.;
Iron Man 2;Blu-Ray;Sencilla;1;Jon Favreau;2010;Fantástico. Ciencia ficción. Acción;Distribuido por Disney.2010 Marvel. ;
Iron Man 3;Blu-Ray;Sencilla;1;Shane Black;2013;Fantástico. Ciencia ficción. Acción;Distribuido por Disney. 2013 Marvel. Paramount Pictures. Edición sencilla Blu-Ray con extras.;
Spider-man Un nuevo Universo;Blu-Ray;Sencilla;2;Persichetti, Ramsey, Rothman;2018;Animación. Aventuras. Acción;Distribuido por Sony. Marvel. Mejor pelicula de animación 2019. Incluye Blu-Ray de extras.;
Spider-man Lejos de casa;Blu-Ray;Sencilla;1;Jon Watts;2019;Fantástico. Acción. Ciencia ficción;Distribuido por Sony. Marvel. Columbia Pictures. ;
El Increíble Hulk;Blu-Ray;Sencilla;1;Louis Leterrier;2008;Fantástico. Acción. Ciencia ficción;Edición apaisada. Distribuido por Sony. Marvel. Incluye audio catalán. Edward Norton;
Hulk;Blu-Ray;Sencilla;1;Ang Lee;2003;Fantástico. Acción. Ciencia ficción. Drama;Distribuido por Universal. ;
Uno de los nuestros;Blu-Ray;Sencilla;2;Martin Scorsese;1990;Thriller. Drama | Mafia. Crimen. Años 70. Años 80;Warner Bros. Iconic Moments. Con slip cover. Incluye Blu-Ray de extras.;
Charlie y la fabrica de chocolate;Blu-Ray;Sencilla;1;Tim Burton;2005;Fantástico. Comedia. Infantil | Remake;Warner Bros. Iconic Moments. Con slip cover.;
Maggie;Blu-Ray/DVD;Combo;2;Henry Hobson;2015;Terror. Drama. Thriller | Zombis;Arnold Schwarzenegger. Combo DVD/Blu-Ray por divisa. Inopia Films.;
El Tren de las 3:10;Blu-Ray;Sencilla;1;James Mangold;2007;Western. Acción | Remake;Russell Crowe, Christian Bale. Filmax home video;
Viaje al fondo del mar;Blu-Ray;Sencilla;1;Irwin Allen;1961;Aventuras. Ciencia ficción;Edición sencilla Blu-Ray. Amary azul reciclable. Karma films. 20th Century-Fox;
La amenaza invisible Stealth;Blu-Ray;Sencilla;1;Rob Cohen;2005;Acción | Aviones. Ejército;Caja amaray azul c on cierre. Distribuido por Sony. Columbia Pictures.;
Snatch Cerdos y diamantes;Blu-Ray;Sencilla;1;Guy Ritchie;2000;Comedia | Comedia negra. Crimen. Mafia.;Distribuido por Sony. Caja Amaray azul normal. 2009 Sony Pictures Home Entertainment Inc;
Lagrimas del Sol;Blu-Ray;Sencilla;1;Antoine Fuqua;2003;Bélico. Acción | África. Ejército;Bruce Willis. Distribuido por Sony. Columbia Pictures;
